NORAD_number,satellite_name,country_of_owner,owner_operator,user,purpose,class_of_orbit,launch_date,contractor,country_of_contractor,launch_location,launch_vehicle
44589,1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Hera Systems,Commercial,Earth Observation,LEO,2019-12-11,Hera Systems,USA,Satish Dhawan Space Centre,PSLV
43728,3Cat-1,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,LEO,2018-11-29,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV
42775,Aalto-1 ,Finland,University of Aalto,Civil,Technology Development,LEO,2017-06-23,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV
41460,AAUSat-4,Denmark,University of Aalborg,Civil,Earth Observation,LEO,2016-04-25,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
39508,"ABS-2 (Koreasat-8, ST-3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2014-02-06,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
41588,ABS-2A,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2016-06-15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
40424,ABS-3A ,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2015-03-02,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
28184,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,2004-03-13,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
25924,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,1999-09-26,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
25894,"ABS-7 (Koreasat 3, Mugungwha 3)",Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,1999-09-04,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane
25336,"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,1998-05-09,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
